epoch,accuracy,loss,val_accuracy,val_loss
0,0.9133702516555786,0.3213911652565002,0.9282700419425964,0.2523956596851349
1,0.9282700419425964,0.2460541576147079,0.9282700419425964,0.2358337044715881
2,0.9305115938186646,0.2065516859292984,0.9345991611480712,0.1635428369045257
3,0.940664529800415,0.1509710103273391,0.9572784900665284,0.1273179054260254
4,0.9554324746131896,0.114954188466072,0.9578059315681458,0.1227088123559951
5,0.9642668962478638,0.0921852961182594,0.9514768123626708,0.1449747234582901
6,0.977452516555786,0.065975621342659,0.9235231876373292,0.1631665080785751
7,0.9799578189849854,0.0536816194653511,0.9683544039726256,0.0933880433440208
8,0.9891877770423888,0.0335944108664989,0.969936728477478,0.0890888571739196
9,0.9918248653411864,0.0255639441311359,0.974156141281128,0.0880670621991157
