epoch,accuracy,loss,val_accuracy,val_loss
0,0.9133702516555786,0.32139116525650024,0.9282700419425964,0.2523956596851349
1,0.9282700419425964,0.24605415761470795,0.9282700419425964,0.23583370447158813
2,0.9305115938186646,0.2065516859292984,0.9345991611480713,0.16354283690452576
3,0.940664529800415,0.15097101032733917,0.9572784900665283,0.1273179054260254
4,0.9554324746131897,0.11495418846607208,0.9578059315681458,0.12270881235599518
5,0.9642668962478638,0.09218529611825943,0.9514768123626709,0.1449747234582901
6,0.9774525165557861,0.065975621342659,0.9235231876373291,0.16316650807857513
7,0.9799578189849854,0.053681619465351105,0.9683544039726257,0.09338804334402084
8,0.9891877770423889,0.03359441086649895,0.969936728477478,0.08908885717391968
9,0.9918248653411865,0.02556394413113594,0.9741561412811279,0.08806706219911575
