category_group,mean,std,count
food,0.39157509157509157,0.40473811249473013,13
entertainment,0.3817856808829031,0.2656956810889937,36
other,0.3513720984253627,0.2664099170977318,8034
household,0.335211865241105,0.2357111600070969,54
makeup,0.30124577120410456,0.18336393450450697,18
home,0.3,0.282842712474619,2
skincare,0.2984088590041974,0.24291335612399828,808
bodycare,0.28296797938746104,0.2966222506098668,375
haircare,0.25829344053733744,0.25248969095860374,140
